dataset,variant,psnr,ssim,lpips
colmap,3dgs_default_40k,35.1419792,0.9774479,0.0424354
colmap,scaffold_default_40k,25.2186184,0.9284374,0.0915333
colmap,scaffold_vs0_uif4_app0_40k,34.8996010,0.9770361,0.0433835
colmap,scaffold_vs0_uif8_app0_40k,34.7677689,0.9764389,0.0447960
colmap,scaffold_vs0_uif8_app0_ud2_40k,34.8252563,0.9765596,0.0447364
colmap,scaffold_vs0_uif16_app0_40k,34.6361084,0.9758877,0.0464648
colmap96,3dgs_default_40k,33.3875160,0.9684948,0.0518274
colmap96,scaffold_vs0_uif4_app0_40k,33.9422340,0.9718247,0.0496209
colmap96,scaffold_vs0_uif8_app0_40k,33.8026009,0.9715987,0.0496287
colmap96,scaffold_vs0_uif8_app0_ud2_40k,33.8295403,0.9714110,0.0503915
colmap96,scaffold_vs0_uif16_app0_40k,33.3755341,0.9706952,0.0525387
vggt96,3dgs_default_40k,32.1026764,0.9620562,0.0549802
vggt96,scaffold_vs0_uif4_app0_40k,31.7868481,0.9604614,0.0597017
vggt96,scaffold_vs0_uif8_app0_40k,31.8959141,0.9612864,0.0583242
vggt96,scaffold_vs0_uif8_app0_ud2_40k,31.7232914,0.9605460,0.0585527
vggt96,scaffold_vs0_uif16_app0_40k,31.9484558,0.9618189,0.0570860
