scene,plan,variant,setting,model,run_name,ours_40000.PSNR,ours_40000.SSIM,ours_40000.LPIPS
Re10k-1,planA,colmap_full,planA_colmap_full,3dgs,default_40k_eval2k,35.16493225097656,0.9775859117507936,0.0424143299460411
Re10k-1,planA,colmap_full,planA_colmap_full,scaffold,final_40k_eval2k,34.86205291748047,0.9769328236579896,0.0438468493521213
Re10k-1,planA,colmap_108,planA_colmap_108,3dgs,default_40k_eval2k,33.50346374511719,0.9693589210510254,0.0515087842941284
Re10k-1,planA,colmap_108,planA_colmap_108,scaffold,final_40k_eval2k,33.79910659790039,0.9711536765098572,0.049136858433485
Re10k-1,planB,vggt_108,planB_vggt_108,3dgs,default_40k_eval2k,26.597286224365234,0.9110803604125975,0.1051095202565193
Re10k-1,planB,vggt_108,planB_vggt_108,scaffold,final_40k_eval2k,27.42291831970215,0.9212004542350768,0.0874304249882698
DL3DV-2,planA,colmap_full,planA_colmap_full,3dgs,default_40k_eval2k,34.76057815551758,0.9657483100891112,0.0677858740091323
DL3DV-2,planA,colmap_full,planA_colmap_full,scaffold,final_40k_eval2k,36.18194580078125,0.971939206123352,0.0563631653785705
DL3DV-2,planA,colmap_108,planA_colmap_108,3dgs,default_40k_eval2k,32.28788375854492,0.9506842494010924,0.0844553336501121
DL3DV-2,planA,colmap_108,planA_colmap_108,scaffold,final_40k_eval2k,34.49934768676758,0.965335249900818,0.0648043677210807
DL3DV-2,planB,vggt_108,planB_vggt_108,3dgs,default_40k_eval2k,28.4884090423584,0.901900589466095,0.1231952384114265
DL3DV-2,planB,vggt_108,planB_vggt_108,scaffold,final_40k_eval2k,29.63804817199707,0.9110594987869264,0.1046403795480728
405841,planA,colmap_full,planA_colmap_full,3dgs,default_40k_eval2k,32.770301818847656,0.9377030730247498,0.1258290112018585
405841,planA,colmap_full,planA_colmap_full,scaffold,final_40k_eval2k,32.0613899230957,0.9339097738265992,0.1353618204593658
405841,planA,colmap_108,planA_colmap_108,3dgs,default_40k_eval2k,31.350622177124023,0.9212988018989564,0.1403086483478546
405841,planA,colmap_108,planA_colmap_108,scaffold,final_40k_eval2k,30.863672256469727,0.918527126312256,0.1488384753465652
405841,planB,vggt_108,planB_vggt_108,3dgs,default_40k_eval2k,27.503835678100582,0.8495239615440369,0.2019626200199127
405841,planB,vggt_108,planB_vggt_108,scaffold,final_40k_eval2k,27.949621200561523,0.8572136163711548,0.1874584853649139
