scene,setting,model,metric,value
405841,colmap_108,3dgs,PSNR (dB),31.350622177124023
405841,colmap_108,3dgs,SSIM,0.9212988018989564
405841,colmap_108,3dgs,LPIPS,0.1403086483478546
405841,colmap_108,scaffold,PSNR (dB),30.863672256469727
405841,colmap_108,scaffold,SSIM,0.918527126312256
405841,colmap_108,scaffold,LPIPS,0.1488384753465652
405841,colmap_full,3dgs,PSNR (dB),32.770301818847656
405841,colmap_full,3dgs,SSIM,0.9377030730247498
405841,colmap_full,3dgs,LPIPS,0.1258290112018585
405841,colmap_full,scaffold,PSNR (dB),32.0613899230957
405841,colmap_full,scaffold,SSIM,0.9339097738265992
405841,colmap_full,scaffold,LPIPS,0.1353618204593658
405841,vggt_ba_108,3dgs,PSNR (dB),29.718494415283203
405841,vggt_ba_108,3dgs,SSIM,0.906298577785492
405841,vggt_ba_108,3dgs,LPIPS,0.1537899076938629
405841,vggt_ba_108,scaffold,PSNR (dB),30.06044006347656
405841,vggt_ba_108,scaffold,SSIM,0.9129438400268556
405841,vggt_ba_108,scaffold,LPIPS,0.1564453691244125
DL3DV-2,colmap_108,3dgs,PSNR (dB),32.28788375854492
DL3DV-2,colmap_108,3dgs,SSIM,0.9506842494010924
DL3DV-2,colmap_108,3dgs,LPIPS,0.0844553336501121
DL3DV-2,colmap_108,scaffold,PSNR (dB),34.49934768676758
DL3DV-2,colmap_108,scaffold,SSIM,0.965335249900818
DL3DV-2,colmap_108,scaffold,LPIPS,0.0648043677210807
DL3DV-2,colmap_full,3dgs,PSNR (dB),34.76057815551758
DL3DV-2,colmap_full,3dgs,SSIM,0.9657483100891112
DL3DV-2,colmap_full,3dgs,LPIPS,0.0677858740091323
DL3DV-2,colmap_full,scaffold,PSNR (dB),36.18194580078125
DL3DV-2,colmap_full,scaffold,SSIM,0.971939206123352
DL3DV-2,colmap_full,scaffold,LPIPS,0.0563631653785705
DL3DV-2,vggt_ba_108,3dgs,PSNR (dB),27.66709899902344
DL3DV-2,vggt_ba_108,3dgs,SSIM,0.8745969533920288
DL3DV-2,vggt_ba_108,3dgs,LPIPS,0.1529712527990341
DL3DV-2,vggt_ba_108,scaffold,PSNR (dB),25.0695743560791
DL3DV-2,vggt_ba_108,scaffold,SSIM,0.8320571184158325
DL3DV-2,vggt_ba_108,scaffold,LPIPS,0.2094433158636093
Re10k-1,colmap_108,3dgs,PSNR (dB),33.50346374511719
Re10k-1,colmap_108,3dgs,SSIM,0.9693589210510254
Re10k-1,colmap_108,3dgs,LPIPS,0.0515087842941284
Re10k-1,colmap_108,scaffold,PSNR (dB),33.79910659790039
Re10k-1,colmap_108,scaffold,SSIM,0.9711536765098572
Re10k-1,colmap_108,scaffold,LPIPS,0.049136858433485
Re10k-1,colmap_full,3dgs,PSNR (dB),35.16493225097656
Re10k-1,colmap_full,3dgs,SSIM,0.9775859117507936
Re10k-1,colmap_full,3dgs,LPIPS,0.0424143299460411
Re10k-1,colmap_full,scaffold,PSNR (dB),34.86205291748047
Re10k-1,colmap_full,scaffold,SSIM,0.9769328236579896
Re10k-1,colmap_full,scaffold,LPIPS,0.0438468493521213
Re10k-1,vggt_ba_108,3dgs,PSNR (dB),32.052955627441406
Re10k-1,vggt_ba_108,3dgs,SSIM,0.9628077745437622
Re10k-1,vggt_ba_108,3dgs,LPIPS,0.0548276603221893
Re10k-1,vggt_ba_108,scaffold,PSNR (dB),32.7645149230957
Re10k-1,vggt_ba_108,scaffold,SSIM,0.9670275449752808
Re10k-1,vggt_ba_108,scaffold,LPIPS,0.0527287200093269
