scene,plan,variant,model,run_name,experiment_name,result_path,ours_40000.SSIM,ours_40000.PSNR,ours_40000.LPIPS,log_path
405841,planA,colmap_108,3dgs,default_40k_eval2k,405841__planA__colmap_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/default_40k_eval2k/results.json,0.9212988018989563,31.350622177124023,0.14030864834785461,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841,planA,colmap_108,scaffold,final_40k_eval2k,405841__planA__colmap_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/final_40k_eval2k/results.json,0.9185271263122559,30.863672256469727,0.14883847534656525,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/scaffold/logs/405841__planA__colmap_108__scaffold_final_40k_eval2k.log
405841,planA,colmap_full,3dgs,default_40k_eval2k,405841__planA__colmap_full__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/3dgs/default_40k_eval2k/results.json,0.9377030730247498,32.770301818847656,0.12582901120185852,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/3dgs/logs/405841__planA__colmap_full__3dgs_default_40k_eval2k.log
405841,planA,colmap_full,scaffold,final_40k_eval2k,405841__planA__colmap_full__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/scaffold/final_40k_eval2k/results.json,0.9339097738265991,32.0613899230957,0.13536182045936584,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/scaffold/logs/405841__planA__colmap_full__scaffold_final_40k_eval2k.log
405841,planB,vggt_108,3dgs,default_40k_eval2k,405841__planB__vggt_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_108/3dgs/default_40k_eval2k/results.json,0.8495239615440369,27.503835678100586,0.20196262001991272,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_108/3dgs/logs/405841__planB__vggt_108__3dgs_default_40k_eval2k.log
405841,planB,vggt_108,scaffold,final_40k_eval2k,405841__planB__vggt_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_108/scaffold/final_40k_eval2k/results.json,0.8572136163711548,27.949621200561523,0.18745848536491394,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_108/scaffold/logs/405841__planB__vggt_108__scaffold_final_40k_eval2k.log
405841,planB,vggt_ba_108,3dgs,default_40k_eval2k,405841__planB__vggt_ba_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_ba_108/3dgs/default_40k_eval2k/results.json,0.9062985777854919,29.718494415283203,0.15378990769386292,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_ba_108/3dgs/logs/405841__planB__vggt_ba_108__3dgs_default_40k_eval2k.log
405841,planB,vggt_ba_108,scaffold,final_40k_eval2k,405841__planB__vggt_ba_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_ba_108/scaffold/final_40k_eval2k/results.json,0.9129438400268555,30.060440063476562,0.15644536912441254,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_ba_108/scaffold/logs/405841__planB__vggt_ba_108__scaffold_final_40k_eval2k.log
DL3DV-2,planA,colmap_108,3dgs,default_40k_eval2k,DL3DV-2__planA__colmap_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_108/3dgs/default_40k_eval2k/results.json,0.9506842494010925,32.28788375854492,0.08445533365011215,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_108/3dgs/logs/DL3DV-2__planA__colmap_108__3dgs_default_40k_eval2k.log
DL3DV-2,planA,colmap_108,scaffold,final_40k_eval2k,DL3DV-2__planA__colmap_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_108/scaffold/final_40k_eval2k/results.json,0.9653352499008179,34.49934768676758,0.06480436772108078,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_108/scaffold/logs/DL3DV-2__planA__colmap_108__scaffold_final_40k_eval2k.log
DL3DV-2,planA,colmap_full,3dgs,default_40k_eval2k,DL3DV-2__planA__colmap_full__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/3dgs/default_40k_eval2k/results.json,0.9657483100891113,34.76057815551758,0.06778587400913239,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/3dgs/logs/DL3DV-2__planA__colmap_full__3dgs_default_40k_eval2k.log
DL3DV-2,planA,colmap_full,scaffold,final_40k_eval2k,DL3DV-2__planA__colmap_full__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/scaffold/final_40k_eval2k/results.json,0.971939206123352,36.18194580078125,0.05636316537857056,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/scaffold/logs/DL3DV-2__planA__colmap_full__scaffold_final_40k_eval2k.log
DL3DV-2,planB,vggt_108,3dgs,default_40k_eval2k,DL3DV-2__planB__vggt_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_108/3dgs/default_40k_eval2k/results.json,0.901900589466095,28.4884090423584,0.12319523841142654,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_108/3dgs/logs/DL3DV-2__planB__vggt_108__3dgs_default_40k_eval2k.log
DL3DV-2,planB,vggt_108,scaffold,final_40k_eval2k,DL3DV-2__planB__vggt_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_108/scaffold/final_40k_eval2k/results.json,0.9110594987869263,29.63804817199707,0.10464037954807281,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_108/scaffold/logs/DL3DV-2__planB__vggt_108__scaffold_final_40k_eval2k.log
DL3DV-2,planB,vggt_ba_108,3dgs,default_40k_eval2k,DL3DV-2__planB__vggt_ba_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_ba_108/3dgs/default_40k_eval2k/results.json,0.8745969533920288,27.667098999023438,0.15297125279903412,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_ba_108/3dgs/logs/DL3DV-2__planB__vggt_ba_108__3dgs_default_40k_eval2k.log
DL3DV-2,planB,vggt_ba_108,scaffold,final_40k_eval2k,DL3DV-2__planB__vggt_ba_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_ba_108/scaffold/final_40k_eval2k/results.json,0.8320571184158325,25.0695743560791,0.20944331586360931,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planB/vggt_ba_108/scaffold/logs/DL3DV-2__planB__vggt_ba_108__scaffold_final_40k_eval2k.log
Re10k-1,planA,colmap_108,3dgs,default_40k_eval2k,Re10k-1__planA__colmap_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_108/3dgs/default_40k_eval2k/results.json,0.9693589210510254,33.50346374511719,0.05150878429412842,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_108/3dgs/logs/Re10k-1__planA__colmap_108__3dgs_default_40k_eval2k.log
Re10k-1,planA,colmap_108,scaffold,final_40k_eval2k,Re10k-1__planA__colmap_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_108/scaffold/final_40k_eval2k/results.json,0.9711536765098572,33.79910659790039,0.04913685843348503,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_108/scaffold/logs/Re10k-1__planA__colmap_108__scaffold_final_40k_eval2k.log
Re10k-1,planA,colmap_full,3dgs,default_40k_eval2k,Re10k-1__planA__colmap_full__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_full/3dgs/default_40k_eval2k/results.json,0.9775859117507935,35.16493225097656,0.04241432994604111,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_full/3dgs/logs/Re10k-1__planA__colmap_full__3dgs_default_40k_eval2k.log
Re10k-1,planA,colmap_full,scaffold,final_40k_eval2k,Re10k-1__planA__colmap_full__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_full/scaffold/final_40k_eval2k/results.json,0.9769328236579895,34.86205291748047,0.04384684935212135,/home/bzhang512/CV_Project/output/part1/Re10k-1/planA/colmap_full/scaffold/logs/Re10k-1__planA__colmap_full__scaffold_final_40k_eval2k.log
Re10k-1,planB,vggt_108,3dgs,default_40k_eval2k,Re10k-1__planB__vggt_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_108/3dgs/default_40k_eval2k/results.json,0.9110803604125977,26.597286224365234,0.10510952025651932,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_108/3dgs/logs/Re10k-1__planB__vggt_108__3dgs_default_40k_eval2k.log
Re10k-1,planB,vggt_108,scaffold,final_40k_eval2k,Re10k-1__planB__vggt_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_108/scaffold/final_40k_eval2k/results.json,0.9212004542350769,27.42291831970215,0.0874304249882698,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_108/scaffold/logs/Re10k-1__planB__vggt_108__scaffold_final_40k_eval2k.log
Re10k-1,planB,vggt_ba_108,3dgs,default_40k_eval2k,Re10k-1__planB__vggt_ba_108__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_ba_108/3dgs/default_40k_eval2k/results.json,0.9628077745437622,32.052955627441406,0.05482766032218933,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_ba_108/3dgs/logs/Re10k-1__planB__vggt_ba_108__3dgs_default_40k_eval2k.log
Re10k-1,planB,vggt_ba_108,scaffold,final_40k_eval2k,Re10k-1__planB__vggt_ba_108__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_ba_108/scaffold/final_40k_eval2k/results.json,0.9670275449752808,32.7645149230957,0.052728720009326935,/home/bzhang512/CV_Project/output/part1/Re10k-1/planB/vggt_ba_108/scaffold/logs/Re10k-1__planB__vggt_ba_108__scaffold_final_40k_eval2k.log
