experiment_name,scene,plan,variant,model,run_name,iter,split,l1,psnr,log_path
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,2000,test,0.021540150977671146,27.36817439397176,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,2000,train,0.020654284581542018,27.743449783325197,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,4000,test,0.01770482879752914,28.90345001220703,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,4000,train,0.017273246310651302,29.247970581054688,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,6000,test,0.016075864667072892,29.62222385406494,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,6000,train,0.0151097746565938,30.211902236938478,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,8000,test,0.01517170985850195,30.055437405904133,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,8000,train,0.01395927593111992,31.049379348754883,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,10000,test,0.014370315863440434,30.43839677174886,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,10000,train,0.013149077631533147,31.520212554931643,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,12000,test,0.013865728552142778,30.773205439249672,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,12000,train,0.012113558128476143,32.200506973266606,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,14000,test,0.013369804403434197,30.834859212239582,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,14000,train,0.010911157913506032,32.84669761657715,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,16000,test,0.01341291555824379,30.946372985839844,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,16000,train,0.010776126943528653,32.98037109375,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,18000,test,0.012878470976526538,31.10285520553589,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,18000,train,0.010425474494695663,33.165462493896484,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,20000,test,0.012860791912923256,31.195090293884277,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,20000,train,0.010173487290740014,33.322740936279295,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,22000,test,0.012911132847269375,31.27369467417399,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,22000,train,0.010019622184336186,33.5690673828125,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,24000,test,0.012665552708009878,31.360575993855793,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,24000,train,0.009588870219886303,33.85931854248047,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,26000,test,0.012700536909202734,31.37852923075358,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,26000,train,0.009571226127445698,33.821817016601564,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,28000,test,0.012445221655070782,31.434428691864014,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,28000,train,0.009282052144408226,34.082714843750004,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,30000,test,0.012421500170603395,31.436007976531982,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,30000,train,0.00922398716211319,34.11345520019531,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,32000,test,0.012516927284499008,31.394956588745117,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,32000,train,0.009112991858273745,34.14588394165039,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,34000,test,0.012339914528032143,31.472679615020752,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,34000,train,0.008857372310012579,34.3448371887207,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,36000,test,0.012318815492714444,31.43850262959798,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,36000,train,0.009153285250067712,34.21999816894532,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,38000,test,0.012350511814778049,31.475782871246338,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,38000,train,0.009648490510880948,33.96294326782227,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,40000,test,0.012253518604363004,31.502257188161213,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841__planA__colmap_96__3dgs__default_40k_eval2k,405841,planA,colmap_96,3dgs,default_40k_eval2k,40000,train,0.009015581384301186,34.32692794799805,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
