scene,plan,variant,model,run_name,experiment_name,result_path,ours_40000.SSIM,ours_40000.PSNR,ours_40000.LPIPS,log_path
405841,planA,colmap_96,3dgs,default_40k_eval2k,405841__planA__colmap_96__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/default_40k_eval2k/results.json,0.9306495785713196,31.4174747467041,0.1247982606291771,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/3dgs/logs/405841__planA__colmap_96__3dgs_default_40k_eval2k.log
405841,planA,colmap_96,scaffold,final_40k_eval2k,405841__planA__colmap_96__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/final_40k_eval2k/results.json,0.9314331412315369,31.730192184448242,0.12426427751779556,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_96/scaffold/logs/405841__planA__colmap_96__scaffold_final_40k_eval2k.log
405841,planA,colmap_full,3dgs,default_40k_eval2k,405841__planA__colmap_full__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/3dgs/default_40k_eval2k/results.json,0.9377030730247498,32.770301818847656,0.12582901120185852,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/3dgs/logs/405841__planA__colmap_full__3dgs_default_40k_eval2k.log
405841,planA,colmap_full,scaffold,final_40k_eval2k,405841__planA__colmap_full__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/scaffold/final_40k_eval2k/results.json,0.9339097738265991,32.0613899230957,0.13536182045936584,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_full/scaffold/logs/405841__planA__colmap_full__scaffold_final_40k_eval2k.log
405841,planB,vggt_96,3dgs,default_40k_eval2k,405841__planB__vggt_96__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_96/3dgs/default_40k_eval2k/results.json,0.9258737564086914,30.603487014770508,0.12876565754413605,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_96/3dgs/logs/405841__planB__vggt_96__3dgs_default_40k_eval2k.log
405841,planB,vggt_96,scaffold,final_40k_eval2k,405841__planB__vggt_96__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_96/scaffold/final_40k_eval2k/results.json,0.9255929589271545,31.054298400878906,0.12878413498401642,/home/bzhang512/CV_Project/output/part1/405841/planB/vggt_96/scaffold/logs/405841__planB__vggt_96__scaffold_final_40k_eval2k.log
DL3DV-2,planA,colmap_96,3dgs,default_40k_eval2k,DL3DV-2__planA__colmap_96__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_96/3dgs/default_40k_eval2k/results.json,0.9413462281227112,31.171646118164062,0.09540742635726929,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_96/3dgs/logs/DL3DV-2__planA__colmap_96__3dgs_default_40k_eval2k.log
DL3DV-2,planA,colmap_96,scaffold,final_40k_eval2k,DL3DV-2__planA__colmap_96__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_96/scaffold/final_40k_eval2k/results.json,0.9636328816413879,34.50406265258789,0.0666867271065712,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_96/scaffold/logs/DL3DV-2__planA__colmap_96__scaffold_final_40k_eval2k.log
DL3DV-2,planA,colmap_full,3dgs,default_40k_eval2k,DL3DV-2__planA__colmap_full__3dgs__default_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/3dgs/default_40k_eval2k/results.json,0.9657483100891113,34.76057815551758,0.06778587400913239,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/3dgs/logs/DL3DV-2__planA__colmap_full__3dgs_default_40k_eval2k.log
DL3DV-2,planA,colmap_full,scaffold,final_40k_eval2k,DL3DV-2__planA__colmap_full__scaffold__final_40k_eval2k,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/scaffold/final_40k_eval2k/results.json,0.971939206123352,36.18194580078125,0.05636316537857056,/home/bzhang512/CV_Project/output/part1/DL3DV-2/planA/colmap_full/scaffold/logs/DL3DV-2__planA__colmap_full__scaffold_final_40k_eval2k.log
