model,dataset,protocol,mode,run_name,num_frames,psnr,ssim,lpips,ate_rmse,ate_mean,ate_median,ate_std
s3po,405841,internal_after,full,2026-04-04-00-43-20,NA,24.016064148375442,0.7663323013476153,0.2795942471513535,0.6126763947784072,0.550351252777797,0.5600227464960688,0.26923198785541075
s3po,405841,internal_before,full,2026-04-04-00-43-20,NA,21.003830904401216,0.7372005055736564,0.37430377995501685,0.6126763947784072,0.550351252777797,0.5600227464960688,0.26923198785541075
s3po,405841,internal_after,sparse,2026-04-04-00-43-23,NA,20.488021850585938,0.7066462486982346,0.3440796136856079,0.9538235634793245,0.8507952681954334,0.824989902690884,0.4311923026500558
s3po,405841,internal_before,sparse,2026-04-04-00-43-23,NA,18.804847717285156,0.6732204705476761,0.5507560521364212,0.9538235634793245,0.8507952681954334,0.824989902690884,0.4311923026500558
s3po,dl3dv_2,internal_after,full,2026-04-04-02-11-11,NA,17.47825269441347,0.6147324532471798,0.35376550060873097,0.46345585531270633,0.3941263134931234,0.3296489219633054,0.2438355569558149
s3po,dl3dv_2,internal_before,full,2026-04-04-02-11-11,NA,16.59465622257542,0.569445429621516,0.4335499648508188,0.46345585531270633,0.3941263134931234,0.3296489219633054,0.2438355569558149
s3po,dl3dv_2,internal_after,sparse,2026-04-04-00-43-38,NA,,,,0.09001538439085384,0.07983496465741677,0.07514366441496956,0.04158302352141064
s3po,dl3dv_2,internal_before,sparse,2026-04-04-00-43-38,NA,,,,0.09001538439085384,0.07983496465741677,0.07514366441496956,0.04158302352141064
s3po,re10k_1,internal_after,full,2026-04-11-05-33-58,NA,23.94890858685529,0.8734854221343994,0.0787798319839769,0.007236828649254026,0.0063810371180324016,0.005804936494396155,0.003413803479545448
s3po,re10k_1,internal_before,full,2026-04-11-05-33-58,NA,16.894991888823334,0.7000647926772082,0.2808826818510338,0.007236828649254026,0.0063810371180324016,0.005804936494396155,0.003413803479545448
s3po,re10k_1,internal_after,sparse,2026-04-04-00-43-29,NA,,,,0.007533720183257805,0.006542729825847375,0.005521712996332848,0.00373491984192341
s3po,re10k_1,internal_before,sparse,2026-04-04-00-43-29,NA,,,,0.007533720183257805,0.006542729825847375,0.005521712996332848,0.00373491984192341
